Channel Title,Channel Id,videoCount,Vote1,Vote2,Vote3,Vote4,Vote5,Pinoybaiting
Kevin meets Chanel,UCf0MMnw0Qj-dxahBbmwLkHQ,2,Yes,Yes,Yes,Yes,Yes,yes
Miss Oh,UCF1Pt--DcPEV4d8WXElQJ3A,13,No,No,No,No,No,no
Taglish Kulee,UCF3l_ACuhzW5QRn--37Tu7A,2,Yes,Yes,Yes,Yes,Yes,yes
Aoishi Shinumura | A'tinomy Gratis,UCF3NGV_0g8nNpvqM4-glqKQ,5,No,No,No,No,No,no
KPO TV,UCFcKArH0uUhFgkTcZiDW3Ig,5,Yes,Yes,Yes,Yes,Yes,yes
The Savvy Expat,UCFEylvc6CkOWSvZuP_vJv4w,4,No,No,Yes,No,Yes,no
Awesome Lexi Vlogs,UCfIN99k3tNWHhpOvqetFWzg,2,No,No,Yes,No,No,no
L3WG Reacts,UCfIOSIFur-qFToVKahB0A6w,2,No,No,Yes,No,No,no
ONE FILIPINO TV,UCFjh6CdEwrQrKf4o9QUnoEA,14,Yes,Yes,No,Yes,No,yes
Everyday with Kris,UCfKpZv8Ra6KRjGXLvKEMKFQ,6,No,No,Yes,No,No,no
Milaine’s Vlogs,UCfl8HJUPdCkX66bv9BDKT5g,2,Yes,No,Yes,No,No,no
Grace Kim,UCflE-QMT5V5l74ivZ50jzIg,2,No,No,Yes,No,No,no
THR3 FEAZ,UCfLh0xWsRhkr6_ZYFRpCYXQ,4,Yes,No,No,No,No,no
Ricki’s Kitchen,UCFodx4VDKNZIoRhuFbfAIfA,3,No,No,Yes,Yes,No,no
Island Life,UCfot-hD35IfUqXC9JXcVatg,4,Yes,No,Yes,Yes,No,yes
PinoyFreeCoder,UCFpZDxOMGzsx05epqfvmzbQ,2,No,No,No,No,No,no
THE KITO FAMILY,UCFr0o7rHZ0oToelztCUkJZQ,17,Yes,No,Yes,Yes,No,yes
BOBBY'S ANGELS,UCfROmtFIX0dVDpJq1W98Cxg,2,Yes,Yes,Yes,Yes,Yes,yes
BlindOwl Outdoors - Simple Living Philippines,UCFuFHFgHPya17g6lbKrlCXg,20,No,No,No,No,No,no
George Japan,UCFvhxOZvy7lao9N5IEFu4aw,2,No,No,Yes,No,No,no
Super Dave the Foodie Trucker,UCFwrnrSeSvaTdiLU1u2LE1A,3,Yes,No,Yes,No,No,no
SPORTS REACT PH,UCg-kYL79Z-R6Mz1fF68NV4w,17,Yes,No,No,No,No,no
Manifest With Jay,UCg1O4q_4jXoNN3U_w-TtVVg,4,No,No,No,No,No,no
Orig Explores,UCG41L6NlmIq1muzgoC_s9Kw,2,No,No,Yes,No,No,no
Marj Suarez,UCg44CBsWwZkKKLA8mA4tgUg,4,Yes,No,Yes,No,No,no
Jaw Travel,UCg4SAGqIufHHnOlSLRctwRg,2,No,No,Yes,Yes,No,no
Dabble The Reaction,UCG57u0jfLpuPuCAHRUtTxdg,9,No,Yes,Yes,Yes,No,yes
ᴍᴀɪʟᴀ sᴊ ʙᴜɴᴅᴀ-!✿,UCg6IU74qGBrYsLB3q8SDv-A,2,No,No,Yes,No,No,no
Blue / Japanese,UCGB0qhlQVYUISmj0oViXQ_w,2,No,No,No,No,No,no
「The_Sleepyhead」,UCgd7Ff5cYNd8odKmrC6h1GA,6,No,No,Yes,Yes,No,no
mamah!,UCGDcIpHhVp-UqN1hTNd-AQA,3,No,No,No,No,No,no
News5Everywhere,UCGEbMwiX774cseKvJqF9R2g,4,No,No,No,No,No,no
Alma Tassadduq TV,UCgGNPIUkWOe0eBNRL_lArLQ,2,No,No,No,No,No,no
ChinoAlphaWolf,UCghcBo-65tVRXyCdRp3LK6g,2,Yes,No,Yes,No,No,no
ariinbeijing,UCGHdJQXNge_Dv7i9mGBC1zg,2,No,No,No,No,No,no
Richard Cabile,UCgLmz4c_5lauhJChLDFybgg,3,No,No,No,No,No,no
Just Moy,UCgNp8XV3QbtinxSRaGmlH6g,3,Yes,No,No,Yes,No,no
European Reacts,UCgPh12KkTIsZuM8lXxjwkPA,2,No,No,No,No,No,no
Martin Avila,UCgpu8lYCxpiTxB8HIu3fwOQ,2,No,No,No,No,No,no
binibining yena,UCgRGutE5Qv6rAAvoAtYFE6g,3,No,No,No,No,No,no
uniunicorn,UCGSPErEtUzPI4XIbU3fifiQ,5,No,No,No,No,No,no
Fabian J,UCgV_i-XHrdvcOOeb613cXcw,3,Yes,No,Yes,Yes,No,yes
ItsNomadTrinidad,UCgvTNqLFbMS8Wp73r00fGLA,6,Yes,Yes,No,Yes,Yes,yes
Wistl Family Adventures,UCGW5DXYdKZ4ULEdeAZn2AlQ,2,Yes,Yes,Yes,Yes,Yes,yes
Pinoy Showbiz News,UCgw8bGPRRb6BX9GTYlZLoFw,2,No,No,No,No,No,no
bisayaaa,UCGXGZRHULlTZUZI7gs7VAng,2,No,No,No,No,No,no
J O Y A H,UCGXQs_w4U4IOZYwEuh9DUlA,2,No,No,No,No,No,no
WeAreOcampo,UCgXQWI3jkQBn4PT1zvFK1QQ,3,Yes,Yes,Yes,Yes,No,yes
Filipino British Couple,UCGXsS5BC_0EB7Qjx_jsEyWQ,2,Yes,Yes,Yes,Yes,Yes,yes
Arty Travels,UCGY-wd-aiR8rHX1XaJXII3A,2,No,Yes,Yes,Yes,Yes,yes
Tim K,UCGyTJBom8TTHa9pc_VlZXfA,2,Yes,Yes,Yes,Yes,Yes,yes
JULIO REACT,UCgYx2v1zc-BKQBg0Q7V4xGw,4,No,No,No,No,No,no
The TyKo Fam,UCH084jZBDgYLedTTl8OXMKw,2,Yes,No,Yes,Yes,No,yes
Micos Brown,UCh0C6JD2DwkY9Jbhe2LCCKg,4,No,No,No,No,No,no
U K I Y O . A R   T,UCHbnFR_XUlcMijyvwestkFg,2,No,No,No,No,No,no
Japan_hime,UCHckqa3qWEvEj5lh5wOhT2w,2,No,No,No,No,No,no
Delightful Travellers,UCHeFV2atoLtgdKH4iu29orA,2,No,Yes,Yes,Yes,No,yes
Mike's Philippine Retirement,UChJZEuE4O45M6CbcYOS3U1w,3,Yes,No,Yes,Yes,Yes,yes
On Tour With Dridgers #OTWD,UCHk-j6L93O3JrxhA87H0oWQ,3,No,Yes,Yes,Yes,No,yes
Chuckie's Kitchen,UChOfNDlXR6XueB8IxMxeqBw,6,Yes,No,Yes,Yes,No,yes
RYU VIDS,UChPdkJ37U3tlAnnM0MZhfXA,3,No,No,Yes,Yes,No,no
PopUp Data,UCHrps7QPrVjDRIB67f9locw,3,No,No,Yes,No,No,no
Brandon and Wila,UChSsQPO1BNzgvup-VcmUeow,2,Yes,Yes,Yes,Yes,Yes,yes
Athena Pan,UChtRES48ZRHW1nTRIOL8omA,4,No,No,Yes,Yes,No,no
Singh and Sarah,UCHx3EruMoIye5O12oR57Bqg,13,Yes,No,Yes,No,No,no
Philippine Airlines,UCHXa8eT8o_wxQrzXTMaxYQQ,2,No,No,No,No,No,no
Sweetnotes Music Official,UChYac7BwqtY2d2MznVFVHvg,2,No,No,No,No,No,no
Volkan Dağcı,UCHYQ-65DYweO6dYooSfYqpw,10,No,No,Yes,Yes,No,no
Ken Abroad,UCHza0GAxOvBOeLKkMeL8EcQ,11,No,Yes,Yes,Yes,No,yes
Tastes Seoul Good테이스트서울굿,UCI_4xw1y0CV-1gVYK2PgW-A,3,No,Yes,Yes,Yes,No,yes
TeddyGreyOnStuff,UCI0Q26FJ67e9e_K-FRgBqRA,3,No,No,Yes,No,No,no
Smile Squad Comedy,UCi1ynaf3mWz-mgim7LvqjzQ,2,No,Yes,Yes,Yes,No,yes
japuanim,UCi2YIVOBghkAthEe8XsFbAg,3,No,No,No,No,No,no
Adam & Yaz,UCi6FGUxJ0qELkA5Cpj8YpUQ,2,No,Yes,Yes,Yes,No,yes
°Its_Justine°,UCI7m2KhDZXnV1RZrkEw3o-w,2,No,No,No,No,No,no
Fumiya / FumiShun Base,UCi7Ofw4sJynsacr_i6uk_lA,6,No,No,Yes,Yes,No,no
Ok What's Next,UCi9s1i9ws9CHukbga05vuDg,3,No,No,No,No,No,no
lucas live br,UCia6oQqdV5kXk7aXf3gJsYw,2,Yes,Yes,Yes,Yes,Yes,yes
Eoin and Aisling,UCIf4OAWnvOnJwoGrOuFu3xg,2,Yes,Yes,Yes,Yes,No,yes
kelly,UCIgeYqubI5M8LoLCcZqwlpw,4,No,Yes,Yes,Yes,No,yes
Switzerland and the Philippines,UCIgf5ncld_GFXbu9MWc6MCQ,3,Yes,Yes,Yes,Yes,Yes,yes
We Vybz Tv,UCIk6DASPsMiUXnU6Y1Lz8Ww,8,Yes,Yes,Yes,Yes,Yes,yes
The Eaton Squad,UCilLiZH-IAFgKQ1A4mm9FZg,3,Yes,Yes,No,No,Yes,no
Pinoy Proud and Pride,UCilyWAYEBfQTJ9DhuVsh_NA,3,Yes,Yes,Yes,Yes,Yes,yes
Daniel Marsh,UCiNCvGzwadWCZIzTUjoApRQ,7,Yes,Yes,Yes,Yes,Yes,yes
ViiBee React,UCiQilK6BrXtpEis6iuM92VQ,3,No,No,No,No,No,no
Totoo TV PH,UCIqsYnifTohuRqM1ij8CZRA,2,Yes,No,No,No,No,no
Military Combat Network,UCiSfjwYIGaLIHI7fHbyCpiw,5,No,Yes,Yes,Yes,No,yes
King KeNNy Slay,UCiuqfsMPDQaSaGgw1o96XrQ,10,Yes,Yes,Yes,Yes,No,yes
Trending Ni Andres,UCiXAAaqS9py7TzHzQ9A5Ftg,5,Yes,Yes,Yes,Yes,Yes,yes
ASIA ARTIST AWARDS,UCIYOI59PWwwOtsXmTnLOp_w,6,No,No,No,No,No,no
🌆 • 「 𝑅𝑢𝑏𝑦Ø𝑓𝑓𝑖𝑥𝑖𝑎𝑙._.𝐶ℎ𝑎𝑛𝑥 」 ッ,UCIYu3AyIEVSE5Ur6iuCseJA,3,No,No,Yes,Yes,No,no
Van & Joe,UCJ_7NsTniv09HWWq2Ht_PZQ,2,Yes,Yes,Yes,Yes,Yes,yes
Vaso and Mich Filipina Montenegrian couple,UCj-kwp1A_zHuKzGwvyGem4g,3,Yes,No,Yes,Yes,No,yes
Married2Travel,UCj2-ftAf2b4FSGoVvcF9VKQ,3,No,Yes,No,No,No,no
GMA Public  Affairs,UCj5RwDivLksanrNvkW0FB4w,2,No,No,No,No,No,no
Where Next Family,UCj6wN8aXupC_RVWBD-Mof7g,3,No,Yes,Yes,Yes,No,yes
Nozumi,UCjAT3VDWLoG-9NFQhCe_gow,4,Yes,Yes,Yes,No,No,yes
Gacha Life Empress,UCJbk_0tA1lLVI04nuUfgsPg,2,No,No,No,No,No,no
Pinoy Knows TV,UCJC6UiSrnyNXLAWv38rYXjg,3,Yes,No,Yes,Yes,No,yes
Jus' 2 React,UCjFqjcg0RR6ILLrZ32k4D9g,8,No,No,Yes,No,No,no
OPM CLASSIC BEST SONGS,UCjGfnNcN2mNmrVvWwOdPAMQ,2,No,No,No,No,No,no
The Dutch Pinay Couple,UCjJHZ6CSsWJ71HkJKnLrqxg,2,No,No,Yes,No,No,no
IRL Media PH,UCJM37yOZ0nOBiS0HzBx3nmA,2,Yes,No,Yes,No,No,no
☾༺ ìtz_Gåläxìán_J.༺☽,UCJNxB0VUSqqFFL4caRibmYA,2,No,No,No,No,No,no
Jordan Melby Vlogs,UCJqFke5HEUbD1IXf0wzEqbg,2,No,No,Yes,Yes,No,no
Lisa Nguyen,UCJQVsC3XcvuRMRr-jD_kTPw,2,No,No,No,No,No,no
Minami Kim,UCjRLSbICh4B8kc1HYmQzK0A,3,No,No,Yes,No,No,no
Jasper in the Philippines 🇵🇭,UCJsUPQs-NSevvUxKmtvdQxw,9,Yes,Yes,Yes,Yes,Yes,yes
Travis ML,UCjtObLhkkocMU20PqmVtavg,5,No,No,Yes,No,No,no
Kuya Devan,UCjuOgcseA2FOKP288WPwERw,2,Yes,No,Yes,Yes,Yes,yes
Regular Guy,UCjW5n1CTxVxmYtX1l2TrMjw,4,Yes,No,Yes,Yes,Yes,yes
The Chui Show,UCJX9p4c81NoZ4_TFME-yY6g,4,No,Yes,No,No,No,no
Cav and Nicole,UCJXfUnmNgN9KLJMAkPa7jHw,2,Yes,Yes,Yes,Yes,Yes,yes
Jamey Iris TALK TV,UCjxrWUwmfgjv81R-ruHfB2w,2,No,Yes,No,No,No,no
Foreigngerms,UCk5qFPLPW8_ZdeYmgJqowlg,2,No,No,Yes,No,No,no
Michael Sorensen,UCkCiyXd84sb42FdckKV0ylA,2,No,No,No,No,No,no
Ryan Hale Shorts,UCKeHU0eCkf17RdeCHB45JMw,4,No,Yes,Yes,No,No,no
Max Reaction,UCkGnjL3liLUAHfhAAljws3w,3,Yes,No,Yes,Yes,No,yes
bossROD TV,UCkhKs9DE4vLE0xQd5C062Ow,2,No,No,No,No,No,no
American Entrepreneur in the Philippines,UCKie0svsFyBBsKaQIA4hx-w,3,Yes,Yes,Yes,No,Yes,yes
GMA  Network,UCKL5hAuzgFQsyrsQKgU0Qng,2,No,Yes,No,No,No,no
Susie in the Philippines,UCKLlmM881k4QZN-iUAFIQfw,30,Yes,Yes,Yes,Yes,Yes,yes
Waffle Films,UCklOBv5MxG67iWZ3ydaTOrQ,2,No,No,No,No,No,no
Jasmine Angeline,UCklTUzY9QlyZDbfuPM0eA2w,2,No,Yes,Yes,No,No,no
"KC Mahal on KCMahalTV, GSTV with Philippines Life",UCKLVNE8_lDKAKC3Ttn0mnyg,3,No,No,Yes,Yes,Yes,no
Calvin Castiel,UCKMU-I4eYw-D9QF1YdUMUlw,29,Yes,Yes,Yes,Yes,Yes,yes
Dinma Jane,UCKnhf4-AS6XeVJCsVGTtzMw,2,No,Yes,Yes,No,No,no
Family Feud Philippines,UCKNLamB6VLwjjyHWQpQC2Gw,2,No,No,No,No,No,no
DW News,UCknLrEdhRCp1aegoMqRaCZg,2,No,No,No,No,No,no
Buhay ni Tal - Living Filipino,UCkocmrlkySgOdt9RYamw6dQ,2,Yes,Yes,Yes,Yes,Yes,yes
Sukli,UCkPpAqpOa_MXLP2qOTSrPOg,16,Yes,No,Yes,Yes,Yes,yes
Eddie in USA,UCKqF_GzR6_g6m5v5JxgaX7g,2,No,No,Yes,No,No,no
CHACHII-CHAN,UCkQFtRC61tYJkBZg2PYAmog,3,Yes,Yes,Yes,Yes,Yes,yes
NETS IN 6,UCkRnzQf_3nJMgyZQoVdZxpA,2,No,No,No,No,No,no
A'tinPh_Mau,UCKslMpcBF1-hhXtOZZ8iOLA,3,No,No,No,No,No,no
Amicy,UCKuprywRDf5gyhSg9Usqgdg,2,No,No,No,No,No,no
Life of Maymay Mukbangers,UCkv-SXvWHauNrkZzyQIDSZg,42,No,No,Yes,No,No,no
PinoyPolish Family,UCkVGwkKwVXBpg4hE7TL9dbg,3,No,Yes,Yes,No,No,no
Jessel in the Philippines 🇵🇭,UCkVNOAMRAda2x1OW9qXAhbg,7,No,Yes,Yes,No,No,no
Ella Vloggs,UCKW52TzD7cx__2BlKYYZ75A,10,No,No,No,No,No,no
itlog ng Pinoy 🇵🇭,UCkYDGQkPkOxOGSuQUdGJLVQ,2,Yes,No,Yes,No,No,no
Dale Philip,UCKygRpISlqs5TufcT3JtRng,3,No,Yes,No,No,No,no
FTGxtrbleYT,UCL-fNRw9po7JpZqbC5XSUvQ,2,No,No,No,No,No,no
Philippines🇵🇭,UCL21e5WivLGktgPjcWivlkg,15,No,No,No,No,No,no
Videolux Philippines,UCl3z7kQ9GlwAyAlwYgcOOmw,2,Yes,Yes,No,Yes,Yes,yes
Jackie in Philippines,UCL9u5oNnY_pRyzt-UaP5JuQ,4,Yes,Yes,Yes,Yes,Yes,yes
Kano Harry,UClC88Hwf0c115jFj-fhVj2A,16,Yes,Yes,No,Yes,Yes,yes
A Foreigner Farming in the Philippines,UClCaGenCW0l5kPVUrR3wWmQ,12,No,No,Yes,Yes,No,no
MORRO DO CANTAGALO,UCLeZzPujf7wF5rvtV1NdjMw,2,No,No,No,No,No,no
Coach Jarret,UCLgh8L9KCNwk-cNqWgO_j4Q,2,No,No,No,No,No,no
KHili,UClh-4zb0esm1YLZdGa-msfw,15,No,No,No,No,No,no
S_BLAZE REACTS,UCLhAHoQP9JHzdhQEppbNA-A,2,No,No,Yes,No,No,no
curious AK,UCLhk-M_MXhxwvjwgU1--w-Q,3,Yes,Yes,Yes,Yes,Yes,yes
Filipina City Girl,UCLIOOZJfmGXGIY0GQWCHsAw,3,No,Yes,No,Yes,No,no
Gio in the Philippines,UClMlXTxpTNMZRE4AEjlc5RA,3,Yes,Yes,Yes,Yes,Yes,yes
Dillon McClure,UClnOJmWf3o_f6x-Q16rjorA,4,Yes,Yes,Yes,Yes,Yes,yes
Xiaomanyc 小马在纽约,UCLNoXf8gq6vhwsrYp-l0J-Q,4,No,Yes,Yes,Yes,No,yes
Mery P,UCLNPsVp9IaYf5a5XRQOE_qg,18,No,Yes,No,Yes,Yes,no
Jessica Lee,UCLPLXSPgySkBypwpi6BrMwg,16,Yes,No,Yes,Yes,No,yes
Milky Coffee,UCLQ1V9BthBBZA_mE3QV18eA,2,Yes,Yes,Yes,Yes,Yes,yes
YouTube Movies,UCLQbjaq1sI0nfLWbqi4C1Kw,4,No,No,No,No,No,no
Isabella TW,UCLRQ45EG4GW6YAoaVnNpNRA,2,Yes,Yes,Yes,Yes,Yes,yes
FALATUZETRÊ,UClTDRDn_pe6paLX05viZLyw,2,No,No,No,No,No,no
Gacha_golden 137,UCLuyf8W6MKrVSd254Pp0N5w,6,No,No,No,Yes,No,no
T.A.G. Edits,UClw3V6PoW6a0ShTSnVSH6QQ,2,No,No,No,Yes,No,no
Mac n Teens,UCLwXLrLjw0bvnk1eGQBNJmg,4,Yes,Yes,Yes,Yes,No,yes
Kuya Jake,UCLZn9AO3oMeox3b3FEusjuw,6,No,Yes,Yes,Yes,No,yes
TRAILER CITY,UCM1LVD5a5509fzL-4khritA,3,No,No,No,No,No,no
HeyoLeah,UCM31OXY_a1lrR2dSTOpeVkA,5,Yes,Yes,Yes,Yes,Yes,yes
Tim Troetschel,UCm3CG7lhRB0VkiefjhCCwZw,3,Yes,Yes,Yes,Yes,Yes,yes
Blessing Asemota React,UCM5PsLystlm5bVMk3kCA2DQ,4,Yes,Yes,Yes,Yes,No,yes
Backstreet Gents,UCMDT70VfH_UhKO6i7fZXe8Q,2,No,No,No,Yes,No,no
Always on a Journey,UCMGEUVgOJ3jqLfvogNjOH3w,2,Yes,Yes,Yes,Yes,No,yes
Jonas Tayaban,UCmgvp9rnjYoOQWnd1QQFCCQ,5,No,No,No,Yes,No,no
Rocío RC Colón,UCMHRM06tR8Sa-Hj3yT_k8fQ,9,Yes,No,Yes,Yes,No,yes
WAVE LEE,UCMhSxrcs7vsoNp_pDe0TDGA,6,No,No,No,Yes,No,no
Red Zone Mindanao,UCmlfCI87gCasxVQR1_Y_DqQ,2,Yes,Yes,Yes,Yes,Yes,yes
anerio,UCmMgc8uhRjCgr4DoAk5LOvw,2,No,No,No,No,No,no
Mariia Di,UCmMHuOVQroFnzMPtBBwtoCw,6,Yes,Yes,Yes,Yes,Yes,yes
MLBB eSports,UCMncR-XXNXhMyJELEgCrHlg,2,No,No,No,No,No,no
Jonathan Liandi,UCmtAg_U0wvmWdxTlceISdEw,7,No,No,No,No,No,no
FlavoursSix,UCmtXIhtRSszrRIMbrjB7Xsw,2,No,No,Yes,No,No,no
Travel Chronicles,UCmUaeYKjQ7n0aMa1KjDHlQg,6,Yes,Yes,Yes,Yes,Yes,yes
Millennial Legends,UCMuPgPrCACbIm9Fscs4TDvA,3,Yes,Yes,Yes,Yes,Yes,yes
Ryan Was,UCmuqCD1-z48_-9KtDTHbQ5g,2,No,No,No,No,No,no
Randie tv,UCmVRUhVe7TZlO2OwJ1J2Zuw,2,No,No,No,No,No,no
The Hungry Syrian Family,UCmw9oO138A4WRUbOZyUGhHA,6,Yes,Yes,Yes,Yes,Yes,yes
Gli and Erik,UCMWTQE8CQv5outBblPqa8tg,2,Yes,Yes,Yes,Yes,Yes,yes
Hobo Ventures,UCmXq0ZRIyR3eX9OhTrNHisA,2,Yes,Yes,Yes,Yes,No,yes
boss rino,UCMyFYaVqUDcnsv2jUnRaNCQ,2,No,No,No,No,No,no
Dean Hashim,UCmZEdaBmnUEoWAzLo4nFASA,7,Yes,Yes,Yes,Yes,Yes,yes
Alexis' PINOY ENGLISH LESSONS ONLINE,UCmZKS6lYmSrUME5aUvKIDKg,2,No,No,No,Yes,No,no
I'm PopRice,UCN1fmQcURDJwYI0_zcHb1NA,2,No,Yes,Yes,No,No,no
Gerard Activa,UCN2X09K8o0zhk44EVhkmeXw,6,No,No,No,Yes,No,no
Reaksyon ni GB,UCn6Bd94ALSqV_vaxA7M6blA,5,Yes,No,Yes,Yes,No,yes
That Japanese Man Yuta,UCn7LyBvG5LEBXK9I4W5dGdA,2,No,No,No,No,No,no
MAProductions,UCnf9YC7xupkbIZyVS3Q4zeQ,3,No,No,Yes,No,Yes,no
Scavenger_120,UCngahNO3_iGbR5NTyzSrmjA,5,No,No,No,No,No,no
Belgian Make it Better,UCNHAs6ggBt0uTcys9Lx7veQ,4,No,Yes,Yes,Yes,Yes,yes
Jay's Philippines,UCnhJnjWpUnBXw5U0bGStP8Q,2,Yes,Yes,Yes,Yes,Yes,yes
Tales of Odyssey,UCnIG77gLrKwxZ-j0YhmstcA,2,Yes,Yes,Yes,Yes,No,yes
KorPhil Lover,UCNjBwZD3GAU3ksFTBj4dFbg,2,Yes,No,Yes,Yes,No,yes
Timothy James,UCnKqPUUQOykTnuAR1n_ytuw,3,No,No,No,No,No,no
Mars & Tobi,UCnOeTSQY_YmjxeY12y0xOPQ,5,Yes,Yes,Yes,Yes,Yes,yes
Filipina Life with Mia,UCnpnhxcQT-97-otlG4XUqCQ,2,No,Yes,Yes,Yes,No,yes
Filipino Ukrainian Couple,UCNQGvfJQi9_O4OkkJtPfTXg,4,No,No,Yes,Yes,Yes,no
Amerikanang Hilaw,UCnS4ERF-4LJEcbqcUjoMMyw,6,No,No,Yes,Yes,No,no
AfterHours,UCnsV7K2rQYrADPVONhYnx3g,2,No,No,No,No,No,no
GR6 EXPLODE,UCNUQK9mQoqi4yNXw2_Rj6SA,3,No,No,No,No,No,no
Rahul2Fan,UCnvNQsU5bd2T0Pl7dfpUHhg,11,No,No,Yes,No,No,no
Divert Living,UCO-BUJCM03NS-rwr1VonV4A,2,Yes,Yes,Yes,Yes,No,yes
culturecebu,UCo-GWE9p5hK0iaMainUJ6wg,2,No,No,Yes,Yes,No,no
MLBB INDONESIA,UCO-UDRlVzoRrHrzq-2sV_pA,2,No,No,No,No,No,no
Craig in Asia,UCo57S0HBediNd47Ew5ezkzw,3,Yes,Yes,Yes,Yes,Yes,yes
keis one,UCO5IhWS7_CIU1HoAkffBzcg,2,Yes,Yes,Yes,Yes,No,yes
The Demouchets REACT,UCo5IPeTfhzXzzNB64ALUSUw,23,No,Yes,Yes,Yes,No,yes
The Commodity,UCO5Jeark1e_JP36mY3ua19g,68,Yes,Yes,Yes,Yes,No,yes
Sebin Kim 세빈킴,UCOBhPv7iSNPNeyyBTkY1VtA,2,No,No,Yes,Yes,Yes,no
Adam and Jane's Lifestyle,UCobYD8WgP3GPOqgvXF2Yy1w,50,Yes,Yes,Yes,Yes,Yes,yes
Marshmallow milky,UCoDLVDw8bajmWQ2eLEJzNqg,2,No,No,No,No,No,no
Fina's UK Family & Lifestyle,UCOeJBQGvDaEXQZSwTr_V2ow,2,Yes,Yes,Yes,Yes,No,yes
The Sovereign,UCoiOd5ziEyXy2WLdKVTNiIA,4,No,Yes,No,Yes,No,no
Have You Ever Wondered,UCOL1S-pRMl51fJ2V6ocljAA,3,Yes,Yes,Yes,Yes,Yes,yes
Philippine Family Life With Leah,UCoNbjiMmQ3c8CdiHu-TaYKw,4,Yes,Yes,Yes,Yes,Yes,yes
8 Miles from Home,UCOnj7dA6j1iTFtudrackMag,8,Yes,Yes,Yes,Yes,Yes,yes
Livin La Vida Tagalog,UCONm3i2-__08mS14cU0rHPg,4,Yes,Yes,Yes,Yes,Yes,yes
DreamWithDiana,UCOO0qiM_zrmwItmq--j3ICA,35,Yes,Yes,Yes,Yes,Yes,yes
Crazy Filipina Love,UCooOp70lTrrOi4bqG531JOA,2,No,Yes,Yes,Yes,Yes,yes
Desi Chris,UCoqGJPtvsPpALlhtqB1lcHA,13,Yes,Yes,Yes,Yes,No,yes
Go with Flo,UCoqLzIVd0ojld7e9zxbFSgg,3,Yes,Yes,Yes,Yes,Yes,yes
Avelovinit,UCoQWcwy-nYVG6Er9VxyxJJA,4,No,Yes,Yes,Yes,No,yes
Tom Yum Lechon,UCOr9UPB0Xw86Cic2lkW2ufQ,3,No,Yes,No,No,No,no
MAICON NEVES,UCORVD9mPq8IBwDvu0B6_ViQ,4,No,No,No,No,No,no
Ije999 Reacts,UCOtztOjWQPgzGaCdtArfWuw,3,No,Yes,Yes,Yes,Yes,yes
Kumander Daot,UCOvLWcHoB4aujwiWKme_pFg,5,Yes,Yes,Yes,Yes,Yes,yes
Living abroad,UCoWQLZoPwn3mJ-oiPrwDpbA,16,Yes,Yes,Yes,Yes,Yes,yes
Yaj,UCOXvT4rtztBIdT1P-QRsLCQ,2,No,No,No,No,No,no
༺[Vale 🌹 Rose]༻,UCoYTHRlGRuYwjW5cxzZ74WA,6,Yes,No,No,Yes,No,no
Rubeauti,UCoYVSCQ0BlM6s33p41gYjRA,2,No,Yes,Yes,Yes,Yes,yes
LEBIB FAMILY,UCOzLRbrX5UVsHRoMl2pNICQ,3,Yes,Yes,Yes,Yes,Yes,yes
Canadian In Philippines,UCP_y6xg3u3hF3pskXosMQyQ,14,Yes,Yes,Yes,Yes,Yes,yes
A Foreigner and Filipina in Philippines,UCp-i_hdhMOQ8IbsGtuszEQg,2,No,No,Yes,Yes,No,no
Mr BulBul,UCp17yfUHfvmjHpHa0xKOmig,2,Yes,No,Yes,Yes,Yes,yes
Hope Filipino Worship,UCp1gtDwiE8iZH9sCJ1aaPYw,2,No,No,No,No,No,no
Fun And Talk,UCP1TtgcChvhLL5aqxe45CPQ,3,Yes,Yes,Yes,Yes,Yes,yes
The Wimmas,UCp4-ksiKbZ3vTmv3gQ6tF8w,3,Yes,No,Yes,Yes,Yes,yes
DARLA,UCP50end1PCEhV4sWEygmQaQ,4,No,No,No,No,No,no
Waleska Herrera,UCPAz3hWHiBC-c1x4K0-atsg,258,Yes,Yes,Yes,Yes,Yes,yes
Cute Fangs,UCPBarav9EolhCC30xmJ1Epg,5,No,No,No,No,No,no
Drew Durnil,UCPcABVoFfCK5gDfX0PY1KGg,4,No,No,No,No,No,no
Sol & Luna TV,UCpcVjkwSeZG6GJvLsIxK5Yw,35,Yes,Yes,Yes,Yes,Yes,yes
First We Feast,UCPD_bxCRGpmmeQcbe2kpPaA,3,No,No,No,Yes,No,no
Blatant Reviews,UCPG-kUxVpjZWFAJeCwS4cQw,4,No,No,Yes,Yes,Yes,no
Twins SF,UCPGDvVGtdbkJgnWmSXLXI1A,6,Yes,Yes,Yes,Yes,Yes,yes
Netflix K-Content,UCpiCK8c6PBktcxq7Az_t4RQ,2,No,No,No,No,No,no
Pablo B Sanchez,UCpjLzP1jlV3s8tvIKKJZ1-w,3,No,No,Yes,Yes,No,no
Insanian Reacts,UCpl2ci4xK_08c5PCGOEt7yw,5,No,No,Yes,Yes,Yes,no
Mark Nowhereman,UCpP_KIeLQjugHtyWNp87BsQ,2,Yes,Yes,Yes,Yes,Yes,yes
Hello Philippines,UCPPBot1bmfYLSDK0lk9Tlcw,14,Yes,Yes,Yes,Yes,Yes,yes
A Better Life PH,UCps-DY2gS0h4fowXa92HQKw,4,Yes,No,Yes,Yes,Yes,yes
